I_t,I_c,R_t,R_c,log_ratios_infect,log_ratios_recover,
2,23,21,47,-2.0794415416798357,-0.7801585575495751,
16,59,20,87,-1.2611312181658847,-1.4328143767547834,
3,37,19,61,-2.2512917986064953,-1.1314021114911006,
9,21,30,44,-0.7884573603642702,-0.3726752852851735,
4,28,11,51,-1.7578579175523736,-1.466337068793427,
7,22,12,55,-1.0560526742493137,-1.4604023332736125,
5,31,12,61,-1.6739764335716716,-1.5621850275835547,
10,19,16,33,-0.5978370007556204,-0.6931471805599453,
8,47,17,69,-1.6739764335716716,-1.3581234841531944,
8,25,14,75,-1.0608719606852628,-1.622683139184121,
8,25,9,44,-1.0608719606852628,-1.5040773967762742,
7,18,10,17,-0.8649974374866046,-0.49247648509779407,
7,42,26,49,-1.6817585740137264,-0.616186139423817,
10,38,20,64,-1.2656663733312759,-1.129864832172214,
2,17,14,21,-1.791759469228055,-0.38299225225610584,
4,27,16,58,-1.7227665977411035,-1.2443240998495033,
10,27,16,57,-0.9343092373768334,-1.2272296664902034,
8,24,18,48,-1.0216512475319814,-0.9473813189441862,
10,24,27,56,-0.8209805520698302,-0.7108467576593462,
10,42,14,78,-1.363304842895192,-1.6613976513648114,
12,16,17,33,-0.2682639865946794,-0.6359887667199967,
14,10,18,32,0.31015492830383945,-0.5520685823000397,
9,28,21,46,-1.0647107369924282,-0.7591051483517427,
11,22,16,26,-0.6505875661411494,-0.46262352194811296,
10,17,9,33,-0.49247648509779407,-1.2237754316221157,
16,35,23,63,-0.750305594399894,-0.9808292530117262,
4,7,16,16,-0.4700036292457356,0.0,
11,11,10,29,0.0,-1.0033021088637848,
2,35,6,58,-2.4849066497880004,-2.1316272948504063,
6,16,15,32,-0.8873031950009028,-0.723918839226699,
11,31,17,41,-0.9808292530117262,-0.8472978603872037,
12,27,23,48,-0.7672551527136672,-0.713766467762681,
7,27,12,43,-1.252762968495368,-1.2192402764567243,
11,25,21,52,-0.7731898882334817,-0.8792494601938059,
8,23,7,38,-0.9808292530117262,-1.5841201044498106,
7,6,20,15,0.13353139262452257,0.27193371548364176,
9,20,18,43,-0.7419373447293773,-0.8397506547518206,
1,28,14,58,-2.6741486494265287,-1.3694872428035094,
6,18,6,38,-0.9985288301111273,-1.717651497074333,
9,23,5,50,-0.8754687373538999,-2.1400661634962708,
14,43,17,62,-1.0761394328160512,-1.252762968495368,
4,23,13,32,-1.5686159179138452,-0.8574502318512216,
10,30,14,39,-1.0360919316867756,-0.9808292530117262,
13,14,18,33,-0.06899287148695143,-0.5819215454497209,
8,31,10,33,-1.2685113254635072,-1.128465251817791,
10,35,16,58,-1.1856236656577395,-1.2443240998495033,
7,19,6,33,-0.916290731874155,-1.580450375560848,
6,22,22,41,-1.1895840668738362,-0.6021754023542185,
2,37,12,46,-2.538973871058276,-1.285198244248522,
11,41,25,61,-1.252762968495368,-0.8690378470236094,
10,25,27,59,-0.8602012652231115,-0.7621400520468967,
13,25,20,40,-0.6190392084062235,-0.6690496289808848,
10,28,28,59,-0.9694005571881036,-0.7270487322356266,
17,17,20,37,0.0,-0.5930637220029626,
7,36,10,50,-1.5314763709643884,-1.5339303599259553,
7,39,6,64,-1.6094379124341003,-2.228477120840324,
14,30,17,41,-0.7259370033829361,-0.8472978603872037,
17,22,32,62,-0.24512245803298496,-0.6466271649250525,
5,42,16,79,-1.9694406464655074,-1.5488132906176655,
7,52,14,63,-1.890850371872286,-1.4508328822574619,
6,42,19,86,-1.8152899666382492,-1.4701758451005928,
13,38,18,49,-1.024504316514388,-0.9675840262617056,
13,29,20,56,-0.7621400520468967,-0.9985288301111273,
8,10,18,23,-0.2006706954621511,-0.2336148511815052,
11,42,16,65,-1.276293465905562,-1.3564413979702095,
7,42,15,48,-1.6817585740137264,-1.1192315758708455,
16,25,21,49,-0.42488319396526597,-0.8209805520698302,
8,37,16,47,-1.4403615823901665,-1.0379876668516748,
4,25,10,61,-1.6486586255873816,-1.729239112246721,
12,15,18,37,-0.2076393647782445,-0.6931471805599453,
9,38,8,45,-1.3609765531356008,-1.6314168191528755,
12,34,22,66,-0.9903987040278769,-1.0691984034618165,
10,32,21,67,-1.0986122886681098,-1.128465251817791,
4,45,8,65,-2.2192034840549946,-1.9924301646902063,
17,27,24,62,-0.4418327522790392,-0.924258901523332,
14,17,16,32,-0.1823215567939546,-0.6632942174102642,
12,17,22,25,-0.325422400434628,-0.12260232209233239,
12,32,21,23,-0.9315582040049435,-0.08701137698962981,
2,40,7,63,-2.6149597780361984,-2.0794415416798357,
10,32,16,71,-1.0986122886681098,-1.4434527749598391,
14,17,30,26,-0.1823215567939546,0.13815033848081718,
14,35,44,41,-0.8754687373538999,0.06899287148695142,
14,32,17,64,-0.7884573603642702,-1.2840155119994723,
13,19,21,45,-0.35667494393873245,-0.7375989431307791,
11,49,26,83,-1.4271163556401458,-1.1349799328389845,
13,22,22,40,-0.496436886313891,-0.578077850775158,
6,39,20,50,-1.742969305058623,-0.8873031950009028,
10,15,10,48,-0.3746934494414107,-1.493925025312256,
10,18,18,29,-0.5465437063680699,-0.456758402495715,
4,20,11,31,-1.4350845252893227,-0.9808292530117262,
10,20,20,42,-0.6466271649250525,-0.7166776779701395,
12,43,18,81,-1.2192402764567243,-1.4622802680978126,
3,13,12,23,-1.252762968495368,-0.6131044728864089,
10,28,15,54,-0.9694005571881036,-1.2347444629926898,
7,27,10,48,-1.252762968495368,-1.493925025312256,
7,22,23,37,-1.0560526742493137,-0.4595323293784402,
12,24,13,65,-0.6539264674066639,-1.550597412411167,
12,53,25,94,-1.4240346891027378,-1.2957803535790586,
7,13,22,34,-0.5596157879354228,-0.419853845560264,
7,21,6,39,-1.0116009116784799,-1.742969305058623,
13,37,17,79,-0.9985288301111273,-1.491654876777717,
7,22,22,34,-1.0560526742493137,-0.419853845560264,
5,39,13,60,-1.8971199848858813,-1.4718165345580525,
8,16,20,34,-0.6359887667199967,-0.5108256237659907,
7,13,21,22,-0.5596157879354228,-0.04445176257083381,
12,22,22,39,-0.570544858467613,-0.5533852381847867,
8,19,10,26,-0.7985076962177716,-0.8979415932059586,
14,26,11,36,-0.587786664902119,-1.126011262856224,
15,26,24,46,-0.5232481437645479,-0.6312717768418579,
6,24,8,33,-1.2729656758128873,-1.329135947279942,
9,20,34,34,-0.7419373447293773,0.0,
14,43,23,94,-1.0761394328160512,-1.3758230612525952,
13,25,30,65,-0.6190392084062235,-0.7556675375412792,
8,35,26,82,-1.3862943611198906,-1.123003741792269,
13,35,25,74,-0.9444616088408514,-1.0593915755148284,
5,27,12,30,-1.540445040947149,-0.8690378470236094,
10,29,22,52,-1.0033021088637848,-0.8347976976229721,
6,15,17,38,-0.8266785731844679,-0.7731898882334817,
9,36,10,53,-1.3083328196501787,-1.5910887737659039,
8,39,14,75,-1.491654876777717,-1.622683139184121,
4,27,17,74,-1.7227665977411035,-1.4271163556401458,
8,15,23,35,-0.5753641449035618,-0.40546510810816444,
5,21,10,28,-1.2992829841302609,-0.9694005571881036,
12,37,17,77,-1.072636802264849,-1.466337068793427,
19,40,34,68,-0.7178397931503169,-0.6787584431078456,
1,37,4,59,-2.9444389791664407,-2.4849066497880004,
9,22,28,40,-0.832909122935104,-0.3462762367178338,
5,20,13,37,-1.252762968495368,-0.9985288301111273,
11,47,18,66,-1.3862943611198906,-1.2602536402245257,
2,14,4,35,-1.6094379124341003,-1.9740810260220096,
9,22,14,44,-0.832909122935104,-1.0986122886681098,
9,26,15,50,-0.9932517730102834,-1.1592369104845446,
13,20,28,35,-0.40546510810816444,-0.21622310846963594,
7,20,7,33,-0.9650808960435872,-1.4469189829363254,
3,19,13,33,-1.6094379124341003,-0.8873031950009028,
18,33,32,40,-0.5819215454497209,-0.2170645052378275,
2,35,10,59,-2.4849066497880004,-1.6964492894237302,
14,16,24,17,-0.12516314295400605,0.32850406697203605,
13,17,31,45,-0.25131442828090605,-0.3629054936893685,
9,16,14,34,-0.5306282510621704,-0.8472978603872037,
17,56,25,84,-1.1526795099383855,-1.1845547184688343,
11,27,20,52,-0.8472978603872037,-0.9257694758286987,
0,44,8,75,-3.8066624897703196,-2.133508762950112,
8,21,18,55,-0.8938178760220964,-1.0809127115687087,
11,18,20,44,-0.4595323293784402,-0.7621400520468967,
3,21,10,31,-1.7047480922384253,-1.067840630001356,
4,28,13,37,-1.7578579175523736,-0.9985288301111273,
9,39,24,80,-1.3862943611198906,-1.1755733298042381,
7,16,18,27,-0.7537718023763802,-0.38776553100876343,
5,41,10,67,-1.9459101490553135,-1.821612432377736,
7,29,6,37,-1.3217558399823195,-1.6916760106710724,
6,35,10,69,-1.6376087894007967,-1.8505999692509885,
3,33,8,64,-2.1400661634962708,-1.9771626925594177,
4,25,18,63,-1.6486586255873816,-1.2144441041932315,
4,36,2,45,-2.001480000210124,-2.7300291078209855,
2,28,11,61,-2.268683541318364,-1.6422277352570913,
6,33,12,96,-1.580450375560848,-2.009761621041846,
5,28,13,47,-1.575536360758419,-1.2321436812926323,
13,33,12,62,-0.8873031950009028,-1.578185368929996,
10,42,38,68,-1.363304842895192,-0.570544858467613,
9,30,19,79,-1.1314021114911006,-1.3862943611198906,
6,32,8,60,-1.550597412411167,-1.9136492868370918,
10,27,20,59,-0.9343092373768334,-1.0498221244986778,
11,13,23,36,-0.15415067982725836,-0.43286408229627876,
4,40,14,49,-2.1041341542702074,-1.2039728043259361,
7,15,17,40,-0.6931471805599453,-0.8232003088081431,
11,25,25,57,-0.7731898882334817,-0.8023464725249373,
12,32,18,46,-0.9315582040049435,-0.9057086225436182,
1,17,8,18,-2.1972245773362196,-0.7472144018302211,
10,27,16,48,-0.9343092373768334,-1.0586069540544105,
13,26,27,33,-0.6567795363890705,-0.1941560144409575,
9,29,16,55,-1.0986122886681098,-1.1921383466789333,
5,18,11,37,-1.1526795099383855,-1.1526795099383855,
8,17,18,27,-0.6931471805599453,-0.38776553100876343,
4,56,13,86,-2.4336133554004498,-1.826850789039325,
6,39,12,54,-1.742969305058623,-1.4423838277709342,
7,28,7,70,-1.2878542883066382,-2.1832383353614793,
8,31,6,51,-1.2685113254635072,-2.005333569526114,
12,22,41,35,-0.570544858467613,0.15415067982725836,
3,17,13,35,-1.5040773967762742,-0.9444616088408514,
11,18,26,22,-0.4595323293784402,0.16034265007517948,
18,18,23,34,0.0,-0.37729423114146804,
11,27,15,54,-0.8472978603872037,-1.2347444629926898,
4,14,5,34,-1.0986122886681098,-1.7635885922613588,
8,40,18,57,-1.5163474893680884,-1.1160040313799788,
4,20,10,43,-1.4350845252893227,-1.3862943611198906,
10,41,19,45,-1.3397743454849977,-0.832909122935104,
7,39,17,60,-1.6094379124341003,-1.2205021062771466,
9,7,18,10,0.22314355131420976,0.5465437063680699,
3,24,15,41,-1.8325814637483102,-0.9650808960435872,
8,33,18,48,-1.329135947279942,-0.9473813189441862,
13,27,16,59,-0.6931471805599453,-1.2611312181658847,
8,47,10,47,-1.6739764335716716,-1.4733057381095205,
6,28,23,55,-1.4213856809311607,-0.8472978603872037,
8,36,16,44,-1.413693335308005,-0.9734491457141037,
16,38,20,37,-0.8303483020734304,-0.5930637220029626,
7,40,14,65,-1.6341305250244718,-1.4816045409242156,
1,29,2,78,-2.70805020110221,-3.270835563798912,
6,55,19,82,-2.0794415416798357,-1.423108334242607,
3,24,8,48,-1.8325814637483102,-1.6945957207744071,
8,38,23,59,-1.466337068793427,-0.916290731874155,
3,22,12,55,-1.749199854809259,-1.4604023332736125,
8,33,11,56,-1.329135947279942,-1.55814461804655,
10,24,19,43,-0.8209805520698302,-0.7884573603642702,
18,18,11,23,0.0,-0.6931471805599453,
2,43,22,69,-2.6855773452501515,-1.1130010261202092,
10,28,22,46,-0.9694005571881036,-0.714653385780909,
5,17,10,25,-1.0986122886681098,-0.8602012652231115,
4,38,16,45,-2.0541237336955462,-0.995428052432879,
4,30,11,69,-1.824549292051046,-1.7635885922613588,
7,41,23,78,-1.6582280766035324,-1.1913940221190757,
3,40,12,57,-2.327277705584417,-1.4954936530848826,
13,15,25,31,-0.13353139262452263,-0.2076393647782445,
8,46,14,89,-1.6529230243738393,-1.791759469228055,
10,21,22,38,-0.6931471805599453,-0.5280674302004967,
15,40,30,53,-0.9409833444645266,-0.5549968420791281,
16,27,14,74,-0.4989911661189879,-1.6094379124341003,
10,22,21,38,-0.7375989431307791,-0.5725191927713306,
10,40,8,60,-1.3156767939059373,-1.9136492868370918,
18,13,19,20,0.3053816495511819,-0.048790164169432056,
6,28,6,59,-1.4213856809311607,-2.1484344131667874,
11,31,23,60,-0.9808292530117262,-0.9328200338253656,
2,21,7,21,-1.9924301646902063,-1.0116009116784799,
6,24,14,49,-1.2729656758128873,-1.2039728043259361,
5,27,18,32,-1.540445040947149,-0.5520685823000397,
7,48,13,90,-1.8123787564307907,-1.8718021769015913,
7,31,20,70,-1.3862943611198906,-1.2181574393178924,
7,15,9,36,-0.6931471805599453,-1.3083328196501787,
9,21,14,44,-0.7884573603642702,-1.0986122886681098,
9,22,19,42,-0.832909122935104,-0.7654678421395714,
16,32,18,60,-0.6632942174102642,-1.1664348850068706,
3,23,4,37,-1.791759469228055,-2.0281482472922856,
4,15,6,28,-1.1631508098056809,-1.4213856809311607,
14,52,20,110,-1.262241712449912,-1.6650077635889111,
5,39,14,53,-1.8971199848858813,-1.2809338454620642,
4,24,12,60,-1.6094379124341003,-1.5459245067117746,
11,34,25,52,-1.0704414117014134,-0.7121953755306398,
8,30,10,73,-1.2367626271489267,-1.906169820405799,
5,22,17,49,-1.3437347467010947,-1.0216512475319814,
12,29,21,53,-0.8362480242006186,-0.8979415932059586,
14,31,18,46,-0.7576857016975165,-0.9057086225436182,
7,18,16,40,-0.8649974374866046,-0.8803587226480918,
22,23,35,36,-0.04255961441879589,-0.027398974188114388,
11,45,21,68,-1.3437347467010947,-1.1430640512389436,
2,29,6,66,-2.3025850929940455,-2.2587824703356527,
11,12,25,37,-0.08004270767353637,-0.3794896217049037,
12,50,24,77,-1.3668762752627892,-1.137833001821391,
5,18,15,35,-1.1526795099383855,-0.8109302162163288,
8,15,19,34,-0.5753641449035618,-0.5596157879354228,
17,20,28,26,-0.15415067982725836,0.07145896398214505,
18,27,21,44,-0.38776553100876343,-0.7156200364120039,
